epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,10268,0.00525,0.0789,0.64039,0.99236,0.98983,0.99474,0.81494,0.00529,0.06426,0.58914,0.0002576,0.0002576,0.0002576
90,10294.7,0.00509,0.07627,0.6342,0.9915,0.989,0.99471,0.81363,0.00529,0.06504,0.58605,0.0002378,0.0002378,0.0002378
91,10335.5,0.00527,0.07289,0.63824,0.99243,0.98644,0.99457,0.80949,0.00529,0.06514,0.58691,0.000218,0.000218,0.000218
92,10362.6,0.00525,0.07141,0.63138,0.99072,0.98983,0.99466,0.81397,0.00525,0.06517,0.58709,0.0001982,0.0001982,0.0001982
93,10390.8,0.00525,0.07184,0.63467,0.99379,0.98644,0.99478,0.80725,0.0053,0.06645,0.58462,0.0001784,0.0001784,0.0001784
94,10419.3,0.00516,0.06943,0.63117,0.98266,0.99322,0.99379,0.81278,0.00524,0.06497,0.58433,0.0001586,0.0001586,0.0001586
95,10446.5,0.00515,0.0694,0.62839,0.98817,0.99142,0.99474,0.81806,0.00523,0.06396,0.58449,0.0001388,0.0001388,0.0001388
96,10473.5,0.0052,0.06962,0.62841,0.99149,0.9868,0.99474,0.81651,0.00529,0.06435,0.58519,0.000119,0.000119,0.000119
97,10499.7,0.00519,0.0695,0.63014,0.99074,0.98983,0.99476,0.81453,0.00526,0.06386,0.58411,9.92e-05,9.92e-05,9.92e-05
98,10526.3,0.00509,0.06881,0.62912,0.99287,0.99322,0.99479,0.81266,0.00527,0.06371,0.58308,7.94e-05,7.94e-05,7.94e-05
99,10553.1,0.00517,0.06817,0.62778,0.9914,0.99322,0.99483,0.81636,0.00524,0.06344,0.58222,5.96e-05,5.96e-05,5.96e-05
100,10579.5,0.00518,0.06867,0.62903,0.98953,0.99322,0.99479,0.8166,0.00525,0.06387,0.5826,3.98e-05,3.98e-05,3.98e-05
